,3 Cubes,6 Cubes,12 Cubes
Cell 01,0.09722222222222222,0.07741769547325103,0.08259947952830135
Cell 02,0.06944444444444445,0.07304526748971193,0.0829096474255844
Cell 03,0.05092592592592592,0.07141632373113854,0.08333333333333333
Cell 04,0.041666666666666664,0.07304526748971193,0.08375701924108227
Cell 05,0.041666666666666664,0.07741769547325103,0.0840671871383653
Cell 06,0.05092592592592592,0.08333333333333333,0.08418071984942825
Cell 07,0.06944444444444445,0.08924897119341564,0.0840671871383653
Cell 08,0.09722222222222222,0.09362139917695474,0.08375701924108227
Cell 09,0.11574074074074074,0.09525034293552812,0.08333333333333333
Cell 010,0.125,0.09362139917695474,0.0829096474255844
Cell 011,0.125,0.08924897119341564,0.08259947952830135
Cell 012,0.11574074074074074,0.08333333333333333,0.08248594681723842
